,Alpha,Corrected,,"1st value = mean","2nd value = std dev"
,0.05,0.00833333333333333321768510160154619370587170124053955078125
,
Iris (Training error),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Iris (Training error (misclassified)),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Iris (Training error (unclassified)),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Iris (Generalization error),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Iris (Generalization error (misclassified)),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Iris (Generalization error (unclassified)),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Iris (Percentage unlabeled neurons),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,
,,,3.655,0.705,25.057,10.178,16.989,9.022,,,,,3.655,0.705,25.057,10.178,16.989,9.022,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,,,,4.000,8.137,21.333,19.605,18.000,20.578,,,,,3.333,7.581,21.333,19.605,18.000,20.578,,,,,0.667,3.651,0.000,0.000,0.000,0.000,,,,,19.467,3.104,0.000,0.000,11.481,16.308,,
Example-Centric Cluster (\textrm{\emph{k}}-Means),25.057,10.178,,,,,1.863e-09,Different ↑,,,,,,Example-Centric Cluster (\textrm{\emph{k}}-Means),25.057,10.178,,,,,1.863e-09,Different ↑,,,,,,Example-Centric Cluster (\textrm{\emph{k}}-Means),0.000,0.000,,,,,NA,Similar □,,,,,,Example-Centric Cluster (\textrm{\emph{k}}-Means),21.333,19.605,,,,,1.659e-04,Different ↑,,,,,,Example-Centric Cluster (\textrm{\emph{k}}-Means),21.333,19.605,,,,,4.578e-05,Different ↑,,,,,,Example-Centric Cluster (\textrm{\emph{k}}-Means),0.000,0.000,,,,,1.000,Similar □,,,,,,Example-Centric Cluster (\textrm{\emph{k}}-Means),0.000,0.000,,,,,1.863e-09,Different ←,,,,,,
Example-Centric Cluster (Ward),16.989,9.022,,,1.863e-09,Different ↑,6.411e-03,Different ←,,,,Example-Centric Cluster (Ward),16.989,9.022,,,1.863e-09,Different ↑,6.411e-03,Different ←,,,,Example-Centric Cluster (Ward),0.000,0.000,,,NA,Similar □,NA,Similar □,,,,Example-Centric Cluster (Ward),18.000,20.578,,,4.135e-03,Different ↑,0.621,Similar □,,,,Example-Centric Cluster (Ward),18.000,20.578,,,1.617e-03,Different ↑,0.621,Similar □,,,,Example-Centric Cluster (Ward),0.000,0.000,,,1.000,Similar □,NA,Similar □,,,,Example-Centric Cluster (Ward),11.481,16.308,,,0.011,Similar □,6.104e-05,Different ↑,,,,
Weight-Centric Neuron,2.575,0.700,4.768e-06,Different ←,1.863e-09,Different ←,1.863e-09,Different ←,,Weight-Centric Neuron,2.575,0.700,4.768e-06,Different ←,1.863e-09,Different ←,1.863e-09,Different ←,,Weight-Centric Neuron,0.000,0.000,NA,Similar □,NA,Similar □,NA,Similar □,,Weight-Centric Neuron,3.333,7.581,1.000,Similar □,3.357e-04,Different ←,6.104e-04,Different ←,,Weight-Centric Neuron,3.333,7.581,1.000,Similar □,3.357e-04,Different ←,6.104e-04,Different ←,,Weight-Centric Neuron,0.000,0.000,1.000,Similar □,NA,Similar □,NA,Similar □,,Weight-Centric Neuron,0.000,0.000,1.863e-09,Different ←,NA,Similar □,6.104e-05,Different ←,,






Ionosphere (Training error),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Ionosphere (Training error (misclassified)),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Ionosphere (Training error (unclassified)),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Ionosphere (Generalization error),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Ionosphere (Generalization error (misclassified)),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Ionosphere (Generalization error (unclassified)),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,Ionosphere (Percentage unlabeled neurons),,,Example-Centric Neuron,,Example-Centric Cluster (\textrm{\emph{k}}-Means),,Example-Centric Cluster (Ward),,,
,,,10.137,1.221,7.912,1.391,8.598,1.961,,,,,10.137,1.221,7.912,1.391,8.598,1.961,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,,,,11.515,10.923,9.394,9.982,8.182,8.390,,,,,11.212,10.319,9.394,9.982,8.182,8.390,,,,,0.303,1.660,0.000,0.000,0.000,0.000,,,,,3.810,1.912,1.883,1.558,1.526,1.452,,
