,Alpha,Corrected,,"1st value = mean","2nd value = std dev"
,0.05,0.005000
,
Iris (Training error),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Iris (Training error (misclassified)),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Iris (Training error (unclassified)),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Iris (Generalization error),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Iris (Generalization error (misclassified)),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Iris (Generalization error (unclassified)),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Iris (Total conditions in rule set),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Iris (Rules in rule set),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Iris (Mean conditions per rule),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,
,,,2.138,0.491,3.977,0.348,33.678,2.097,14.345,10.718,,,,,2.138,0.491,3.977,0.348,33.678,2.097,14.345,10.718,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,2.667,6.915,5.333,10.417,34.000,20.443,14.667,13.830,,,,,2.667,6.915,5.333,10.417,34.000,20.443,14.667,13.830,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,4.833,0.461,5.000,0.000,2.000,0.000,4.733,0.691,,,,,3.000,0.000,4.000,0.000,2.000,0.000,3.867,0.346,,,,,1.611,0.154,1.250,0.000,1.000,0.000,1.217,0.086,,
Unmodified C4.5,3.977,0.348,7.451e-09,Different ↑,,,,,,,,Unmodified C4.5,3.977,0.348,7.451e-09,Different ↑,,,,,,,,Unmodified C4.5,0.000,0.000,NA,Similar □,,,,,,,,Unmodified C4.5,5.333,10.417,0.219,Similar □,,,,,,,,Unmodified C4.5,5.333,10.417,0.219,Similar □,,,,,,,,Unmodified C4.5,0.000,0.000,NA,Similar □,,,,,,,,Unmodified C4.5,5.000,0.000,0.125,Similar □,,,,,,,,Unmodified C4.5,4.000,0.000,1.863e-09,Different ↑,,,,,,,,Unmodified C4.5,1.250,0.000,1.490e-08,Different ←,,,,,,,,
HybridSOM (CN2),33.678,2.097,1.863e-09,Different ↑,1.863e-09,Different ↑,,,,,,HybridSOM (CN2),33.678,2.097,1.863e-09,Different ↑,1.863e-09,Different ↑,,,,,,HybridSOM (CN2),0.000,0.000,NA,Similar □,NA,Similar □,,,,,,HybridSOM (CN2),34.000,20.443,1.192e-07,Different ↑,1.907e-06,Different ↑,,,,,,HybridSOM (CN2),34.000,20.443,1.192e-07,Different ↑,1.907e-06,Different ↑,,,,,,HybridSOM (CN2),0.000,0.000,NA,Similar □,NA,Similar □,,,,,,HybridSOM (CN2),2.000,0.000,1.863e-09,Different ←,1.863e-09,Different ←,,,,,,HybridSOM (CN2),2.000,0.000,1.863e-09,Different ←,1.863e-09,Different ←,,,,,,HybridSOM (CN2),1.000,0.000,3.725e-09,Different ←,1.863e-09,Different ←,,,,,,
HybridSOM (C4.5),14.345,10.718,1.863e-09,Different ↑,1.863e-09,Different ↑,8.009e-08,Different ←,,,,HybridSOM (C4.5),14.345,10.718,1.863e-09,Different ↑,1.863e-09,Different ↑,8.009e-08,Different ←,,,,HybridSOM (C4.5),0.000,0.000,NA,Similar □,NA,Similar □,NA,Similar □,,,,HybridSOM (C4.5),14.667,13.830,1.526e-05,Different ↑,3.723e-03,Different ↑,7.771e-04,Different ←,,,,HybridSOM (C4.5),14.667,13.830,1.526e-05,Different ↑,3.723e-03,Different ↑,7.771e-04,Different ←,,,,HybridSOM (C4.5),0.000,0.000,NA,Similar □,NA,Similar □,NA,Similar □,,,,HybridSOM (C4.5),4.733,0.691,0.656,Similar □,0.125,Similar □,1.863e-09,Different ↑,,,,HybridSOM (C4.5),3.867,0.346,2.980e-08,Different ↑,0.125,Similar □,1.863e-09,Different ↑,,,,HybridSOM (C4.5),1.217,0.086,9.313e-09,Different ←,0.125,Similar □,2.980e-08,Different ↑,,,,
SIG* algorithm,41.862,1.148,1.863e-09,Different ↑,1.863e-09,Different ↑,3.725e-09,Different ↑,1.863e-09,Different ↑,,SIG* algorithm,26.184,1.409,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ←,1.598e-05,Different ↑,,SIG* algorithm,15.678,0.991,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,,SIG* algorithm,42.000,23.104,1.490e-08,Different ↑,2.384e-07,Different ↑,0.209,Similar □,8.449e-06,Different ↑,,SIG* algorithm,27.333,18.557,8.345e-07,Different ↑,1.836e-05,Different ↑,0.384,Similar □,4.232e-03,Different ↑,,SIG* algorithm,14.667,13.830,3.815e-06,Different ↑,3.815e-06,Different ↑,3.815e-06,Different ↑,3.815e-06,Different ↑,,SIG* algorithm,16.000,0.000,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,,SIG* algorithm,2.000,0.000,1.863e-09,Different ←,1.863e-09,Different ←,NA,Similar □,1.863e-09,Different ←,,SIG* algorithm,8.000,0.000,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,,




